### IMAGE_DOS_HEADER   Groesse 128 (0x80)
  +0x4     NameIsString                               dword                  4 Byte

### IMAGE_RESOURCE_DIRECTORY_ENTRY_DirectoryStruct   Groesse 8 (0x8)
  +0x0     OffsetToDirectory                          dword                  4 Byte
  +0x4     DataIsDirectory                            dword                  4 Byte

### IMAGE_RESOURCE_DATA_ENTRY   Groesse 16 (0x10)
  +0x0     OffsetToData                               dword                  4 Byte
  +0x4     Size                                       dword                  4 Byte
  +0x8     CodePage                                   dword                  4 Byte
  +0xc     Reserved                                   dword                  4 Byte

### _s_FuncInfo   Groesse 36 (0x24)
  +0x0     magicNumber_and_bbtFlags                   uint                   4 Byte
  +0x4     maxState                                   __ehstate_t            4 Byte
  +0x8     pUnwindMap                                 UnwindMapEntry *       4 Byte
  +0xc     nTryBlocks                                 uint                   4 Byte
  +0x10    pTryBlockMap                               TryBlockMapEntry *     4 Byte
  +0x14    nIPMapEntries                              uint                   4 Byte
  +0x18    pIPToStateMap                              void *                 4 Byte
  +0x1c    pESTypeList                                ESTypeList *           4 Byte
  +0x20    EHFlags                                    int                    4 Byte

### _s_UnwindMapEntry   Groesse 8 (0x8)
  +0x0     toState                                    __ehstate_t            4 Byte
  +0x4     action                                     action *               4 Byte

### _s_TryBlockMapEntry   Groesse 20 (0x14)
  +0x0     tryLow                                     __ehstate_t            4 Byte
  +0x4     tryHigh                                    __ehstate_t            4 Byte
  +0x8     catchHigh                                  __ehstate_t            4 Byte
  +0xc     nCatches                                   int                    4 Byte
  +0x10    pHandlerArray                              HandlerType *          4 Byte

### _s_ESTypeList   Groesse 8 (0x8)
  +0x0     nCount                                     int                    4 Byte
  +0x4     pTypeArray                                 HandlerType *          4 Byte

### _s_HandlerType   Groesse 16 (0x10)
  +0x0     adjectives                                 uint                   4 Byte
  +0x4     pType                                      TypeDescriptor *       4 Byte
  +0x8     dispCatchObj                               ptrdiff_t              4 Byte
  +0xc     addressOfHandler                           void *                 4 Byte

### TypeDescriptor   Groesse 8 (0x8)
  +0x0     pVFTable                                   void *                 4 Byte
  +0x4     spare                                      void *                 4 Byte
  +0x8     name                                       char[0]                0 Byte

### CLIENT_ID   Groesse 8 (0x8)
  +0x0     UniqueProcess                              void *32               4 Byte
  +0x4     UniqueThread                               void *32               4 Byte

### _s__RTTICompleteObjectLocator   Groesse 20 (0x14)
  +0x0     signature                                  dword                  4 Byte
  +0x4     offset                                     dword                  4 Byte
  +0x8     cdOffset                                   dword                  4 Byte
  +0xc     pTypeDescriptor                            TypeDescriptor *       4 Byte
  +0x10    pClassDescriptor                           RTTIClassHierarchyDescriptor * 4 Byte

### _s__RTTIClassHierarchyDescriptor   Groesse 16 (0x10)
  +0x0     signature                                  dword                  4 Byte
  +0x4     attributes                                 dword                  4 Byte
  +0x8     numBaseClasses                             dword                  4 Byte
  +0xc     pBaseClassArray                            RTTIBaseClassDescriptor * * 4 Byte

### _s__RTTIBaseClassDescriptor   Groesse 28 (0x1c)
  +0x0     pTypeDescriptor                            TypeDescriptor *       4 Byte
  +0x4     numContainedBases                          dword                  4 Byte
  +0x8     where                                      PMD                    12 Byte
  +0x14    attributes                                 dword                  4 Byte
  +0x18    pClassHierarchyDescriptor                  RTTIClassHierarchyDescriptor * 4 Byte

### PMD   Groesse 12 (0xc)
  +0x0     mdisp                                      ptrdiff_t              4 Byte
  +0x4     pdisp                                      ptrdiff_t              4 Byte
  +0x8     vdisp                                      ptrdiff_t              4 Byte

### localeinfo_struct   Groesse 8 (0x8)
  +0x0     locinfo                                    pthreadlocinfo         4 Byte
  +0x4     mbcinfo                                    pthreadmbcinfo         4 Byte

### threadlocaleinfostruct   Groesse 184 (0xb8)
  +0x0     refcount                                   int                    4 Byte
  +0x4     lc_codepage                                uint                   4 Byte
  +0x8     lc_collate_cp                              uint                   4 Byte
  +0xc     lc_time_cp                                 uint                   4 Byte
  +0x10    lc_category                                locrefcount[6]         96 Byte
  +0x70    lc_clike                                   int                    4 Byte
  +0x74    mb_cur_max                                 int                    4 Byte
  +0x78    lconv_intl_refcount                        int *                  4 Byte
  +0x7c    lconv_num_refcount                         int *                  4 Byte
  +0x80    lconv_mon_refcount                         int *                  4 Byte
  +0x84    lconv                                      lconv *                4 Byte
  +0x88    ctype1_refcount                            int *                  4 Byte
  +0x8c    ctype1                                     ushort *               4 Byte
  +0x90    pctype                                     ushort *               4 Byte
  +0x94    pclmap                                     uchar *                4 Byte
  +0x98    pcumap                                     uchar *                4 Byte
  +0x9c    lc_time_curr                               __lc_time_data *       4 Byte
  +0xa0    locale_name                                wchar_t *[6]           24 Byte

### localerefcount   Groesse 16 (0x10)
  +0x0     locale                                     char *                 4 Byte
  +0x4     wlocale                                    wchar_t *              4 Byte
  +0x8     refcount                                   int *                  4 Byte
  +0xc     wrefcount                                  int *                  4 Byte

### threadmbcinfostruct   Groesse 544 (0x220)
  +0x0     refcount                                   int                    4 Byte
  +0x4     mbcodepage                                 int                    4 Byte
  +0x8     ismbcodepage                               int                    4 Byte
  +0xc     mbulinfo                                   ushort[6]              12 Byte
  +0x18    mbctype                                    uchar[257]             257 Byte
  +0x119   mbcasemap                                  uchar[256]             256 Byte
  +0x21c   mblocalename                               wchar_t *              4 Byte

### lconv   Groesse 80 (0x50)
  +0x0     decimal_point                              char *                 4 Byte
  +0x4     thousands_sep                              char *                 4 Byte
  +0x8     grouping                                   char *                 4 Byte
  +0xc     int_curr_symbol                            char *                 4 Byte
  +0x10    currency_symbol                            char *                 4 Byte
  +0x14    mon_decimal_point                          char *                 4 Byte
  +0x18    mon_thousands_sep                          char *                 4 Byte
  +0x1c    mon_grouping                               char *                 4 Byte
  +0x20    positive_sign                              char *                 4 Byte
  +0x24    negative_sign                              char *                 4 Byte
  +0x28    int_frac_digits                            char                   1 Byte
  +0x29    frac_digits                                char                   1 Byte
  +0x2a    p_cs_precedes                              char                   1 Byte
  +0x2b    p_sep_by_space                             char                   1 Byte
  +0x2c    n_cs_precedes                              char                   1 Byte
  +0x2d    n_sep_by_space                             char                   1 Byte
  +0x2e    p_sign_posn                                char                   1 Byte
  +0x2f    n_sign_posn                                char                   1 Byte
  +0x30    _W_decimal_point                           wchar_t *              4 Byte
  +0x34    _W_thousands_sep                           wchar_t *              4 Byte
  +0x38    _W_int_curr_symbol                         wchar_t *              4 Byte
  +0x3c    _W_currency_symbol                         wchar_t *              4 Byte
  +0x40    _W_mon_decimal_point                       wchar_t *              4 Byte
  +0x44    _W_mon_thousands_sep                       wchar_t *              4 Byte
  +0x48    _W_positive_sign                           wchar_t *              4 Byte
  +0x4c    _W_negative_sign                           wchar_t *              4 Byte

### __lc_time_data   Groesse 356 (0x164)
  +0x0     wday_abbr                                  char *[7]              28 Byte
  +0x1c    wday                                       char *[7]              28 Byte
  +0x38    month_abbr                                 char *[12]             48 Byte
  +0x68    month                                      char *[12]             48 Byte
  +0x98    ampm                                       char *[2]              8 Byte
  +0xa0    ww_sdatefmt                                char *                 4 Byte
  +0xa4    ww_ldatefmt                                char *                 4 Byte
  +0xa8    ww_timefmt                                 char *                 4 Byte
  +0xac    ww_caltype                                 int                    4 Byte
  +0xb0    refcount                                   int                    4 Byte
  +0xb4    _W_wday_abbr                               wchar_t *[7]           28 Byte
  +0xd0    _W_wday                                    wchar_t *[7]           28 Byte
  +0xec    _W_month_abbr                              wchar_t *[12]          48 Byte
  +0x11c   _W_month                                   wchar_t *[12]          48 Byte
  +0x14c   _W_ampm                                    wchar_t *[2]           8 Byte
  +0x154   _W_ww_sdatefmt                             wchar_t *              4 Byte
  +0x158   _W_ww_ldatefmt                             wchar_t *              4 Byte
  +0x15c   _W_ww_timefmt                              wchar_t *              4 Byte
  +0x160   _W_ww_locale_name                          wchar_t *              4 Byte

### _iobuf   Groesse 32 (0x20)
  +0x0     _ptr                                       char *                 4 Byte
  +0x4     _cnt                                       int                    4 Byte
  +0x8     _base                                      char *                 4 Byte
  +0xc     _flag                                      int                    4 Byte
  +0x10    _file                                      int                    4 Byte
  +0x14    _charbuf                                   int                    4 Byte
  +0x18    _bufsiz                                    int                    4 Byte
  +0x1c    _tmpfname                                  char *                 4 Byte

### _TIME_ZONE_INFORMATION   Groesse 172 (0xac)
  +0x0     Bias                                       LONG                   4 Byte
  +0x4     StandardName                               WCHAR[32]              64 Byte
  +0x44    StandardDate                               SYSTEMTIME             16 Byte
  +0x54    StandardBias                               LONG                   4 Byte
  +0x58    DaylightName                               WCHAR[32]              64 Byte
  +0x98    DaylightDate                               SYSTEMTIME             16 Byte
  +0xa8    DaylightBias                               LONG                   4 Byte

### _SYSTEMTIME   Groesse 16 (0x10)
  +0x0     wYear                                      WORD                   2 Byte
  +0x2     wMonth                                     WORD                   2 Byte
  +0x4     wDayOfWeek                                 WORD                   2 Byte
  +0x6     wDay                                       WORD                   2 Byte
  +0x8     wHour                                      WORD                   2 Byte
  +0xa     wMinute                                    WORD                   2 Byte
  +0xc     wSecond                                    WORD                   2 Byte
  +0xe     wMilliseconds                              WORD                   2 Byte

### _strflt   Groesse 16 (0x10)
  +0x0     sign                                       int                    4 Byte
  +0x4     decpt                                      int                    4 Byte
  +0x8     flag                                       int                    4 Byte
  +0xc     mantissa                                   char *                 4 Byte

### _RTL_CRITICAL_SECTION   Groesse 24 (0x18)
  +0x0     DebugInfo                                  PRTL_CRITICAL_SECTION_DEBUG 4 Byte
  +0x4     LockCount                                  LONG                   4 Byte
  +0x8     RecursionCount                             LONG                   4 Byte
  +0xc     OwningThread                               HANDLE                 4 Byte
  +0x10    LockSemaphore                              HANDLE                 4 Byte
  +0x14    SpinCount                                  ULONG_PTR              4 Byte

### _RTL_CRITICAL_SECTION_DEBUG   Groesse 32 (0x20)
  +0x0     Type                                       WORD                   2 Byte
  +0x2     CreatorBackTraceIndex                      WORD                   2 Byte
  +0x4     CriticalSection                            _RTL_CRITICAL_SECTION * 4 Byte
  +0x8     ProcessLocksList                           LIST_ENTRY             8 Byte
  +0x10    EntryCount                                 DWORD                  4 Byte
  +0x14    ContentionCount                            DWORD                  4 Byte
  +0x18    Flags                                      DWORD                  4 Byte
  +0x1c    CreatorBackTraceIndexHigh                  WORD                   2 Byte
  +0x1e    SpareWORD                                  WORD                   2 Byte

### _LIST_ENTRY   Groesse 8 (0x8)
  +0x0     Flink                                      _LIST_ENTRY *          4 Byte
  +0x4     Blink                                      _LIST_ENTRY *          4 Byte

### _EXCEPTION_POINTERS   Groesse 8 (0x8)
  +0x0     ExceptionRecord                            PEXCEPTION_RECORD      4 Byte
  +0x4     ContextRecord                              PCONTEXT               4 Byte

### _EXCEPTION_RECORD   Groesse 80 (0x50)
  +0x0     ExceptionCode                              DWORD                  4 Byte
  +0x4     ExceptionFlags                             DWORD                  4 Byte
  +0x8     ExceptionRecord                            _EXCEPTION_RECORD *    4 Byte
  +0xc     ExceptionAddress                           PVOID                  4 Byte
  +0x10    NumberParameters                           DWORD                  4 Byte
  +0x14    ExceptionInformation                       ULONG_PTR[15]          60 Byte

### _CONTEXT   Groesse 716 (0x2cc)
  +0x0     ContextFlags                               DWORD                  4 Byte
  +0x4     Dr0                                        DWORD                  4 Byte
  +0x8     Dr1                                        DWORD                  4 Byte
  +0xc     Dr2                                        DWORD                  4 Byte
  +0x10    Dr3                                        DWORD                  4 Byte
  +0x14    Dr6                                        DWORD                  4 Byte
  +0x18    Dr7                                        DWORD                  4 Byte
  +0x1c    FloatSave                                  FLOATING_SAVE_AREA     112 Byte
  +0x8c    SegGs                                      DWORD                  4 Byte
  +0x90    SegFs                                      DWORD                  4 Byte
  +0x94    SegEs                                      DWORD                  4 Byte
  +0x98    SegDs                                      DWORD                  4 Byte
  +0x9c    Edi                                        DWORD                  4 Byte
  +0xa0    Esi                                        DWORD                  4 Byte
  +0xa4    Ebx                                        DWORD                  4 Byte
  +0xa8    Edx                                        DWORD                  4 Byte
  +0xac    Ecx                                        DWORD                  4 Byte
  +0xb0    Eax                                        DWORD                  4 Byte
  +0xb4    Ebp                                        DWORD                  4 Byte
  +0xb8    Eip                                        DWORD                  4 Byte
  +0xbc    SegCs                                      DWORD                  4 Byte
  +0xc0    EFlags                                     DWORD                  4 Byte
  +0xc4    Esp                                        DWORD                  4 Byte
  +0xc8    SegSs                                      DWORD                  4 Byte
  +0xcc    ExtendedRegisters                          BYTE[512]              512 Byte

### _FLOATING_SAVE_AREA   Groesse 112 (0x70)
  +0x0     ControlWord                                DWORD                  4 Byte
  +0x4     StatusWord                                 DWORD                  4 Byte
  +0x8     TagWord                                    DWORD                  4 Byte
  +0xc     ErrorOffset                                DWORD                  4 Byte
  +0x10    ErrorSelector                              DWORD                  4 Byte
  +0x14    DataOffset                                 DWORD                  4 Byte
  +0x18    DataSelector                               DWORD                  4 Byte
  +0x1c    RegisterArea                               BYTE[80]               80 Byte
  +0x6c    Cr0NpxState                                DWORD                  4 Byte

### HWND__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### _tiddata   Groesse 952 (0x3b8)
  +0x0     _tid                                       ulong                  4 Byte
  +0x4     _thandle                                   uintptr_t              4 Byte
  +0x8     _terrno                                    int                    4 Byte
  +0xc     _tdoserrno                                 ulong                  4 Byte
  +0x10    _fpds                                      uint                   4 Byte
  +0x14    _holdrand                                  ulong                  4 Byte
  +0x18    _token                                     char *                 4 Byte
  +0x1c    _wtoken                                    wchar_t *              4 Byte
  +0x20    _mtoken                                    uchar *                4 Byte
  +0x24    _errmsg                                    char *                 4 Byte
  +0x28    _werrmsg                                   wchar_t *              4 Byte
  +0x2c    _namebuf0                                  char *                 4 Byte
  +0x30    _wnamebuf0                                 wchar_t *              4 Byte
  +0x34    _namebuf1                                  char *                 4 Byte
  +0x38    _wnamebuf1                                 wchar_t *              4 Byte
  +0x3c    _asctimebuf                                char *                 4 Byte
  +0x40    _wasctimebuf                               wchar_t *              4 Byte
  +0x44    _gmtimebuf                                 void *                 4 Byte
  +0x48    _cvtbuf                                    char *                 4 Byte
  +0x4c    _con_ch_buf                                uchar[5]               5 Byte
  +0x52    _ch_buf_used                               ushort                 2 Byte
  +0x54    _initaddr                                  void *                 4 Byte
  +0x58    _initarg                                   void *                 4 Byte
  +0x5c    _pxcptacttab                               void *                 4 Byte
  +0x60    _tpxcptinfoptrs                            void *                 4 Byte
  +0x64    _tfpecode                                  int                    4 Byte
  +0x68    ptmbcinfo                                  pthreadmbcinfo         4 Byte
  +0x6c    ptlocinfo                                  pthreadlocinfo         4 Byte
  +0x70    _ownlocale                                 int                    4 Byte
  +0x74    _NLG_dwCode                                ulong                  4 Byte
  +0x78    _terminate                                 void *                 4 Byte
  +0x7c    _unexpected                                void *                 4 Byte
  +0x80    _translator                                void *                 4 Byte
  +0x84    _purecall                                  void *                 4 Byte
  +0x88    _curexception                              void *                 4 Byte
  +0x8c    _curcontext                                void *                 4 Byte
  +0x90    _ProcessingThrow                           int                    4 Byte
  +0x94    _curexcspec                                void *                 4 Byte
  +0x98    _pFrameInfoChain                           void *                 4 Byte
  +0x9c    _setloc_data                               _setloc_struct         764 Byte
  +0x398   _reserved1                                 void *                 4 Byte
  +0x39c   _reserved2                                 void *                 4 Byte
  +0x3a0   _reserved3                                 void *                 4 Byte
  +0x3a4   _reserved4                                 void *                 4 Byte
  +0x3a8   _reserved5                                 void *                 4 Byte
  +0x3ac   _cxxReThrow                                int                    4 Byte
  +0x3b0   __initDomain                               ulong                  4 Byte
  +0x3b4   _initapartment                             int                    4 Byte

### setloc_struct   Groesse 764 (0x2fc)
  +0x0     pchLanguage                                wchar_t *              4 Byte
  +0x4     pchCountry                                 wchar_t *              4 Byte
  +0x8     iLocState                                  int                    4 Byte
  +0xc     iPrimaryLen                                int                    4 Byte
  +0x10    bAbbrevLanguage                            BOOL                   4 Byte
  +0x14    bAbbrevCountry                             BOOL                   4 Byte
  +0x18    _cachecp                                   UINT                   4 Byte
  +0x1c    _cachein                                   wchar_t[131]           262 Byte
  +0x122   _cacheout                                  wchar_t[131]           262 Byte
  +0x228   _Loc_c                                     _is_ctype_compatible[5] 40 Byte
  +0x250   _cacheLocaleName                           wchar_t[85]            170 Byte

### _is_ctype_compatible   Groesse 8 (0x8)
  +0x0     id                                         ulong                  4 Byte
  +0x4     is_clike                                   int                    4 Byte

### _IMAGE_SECTION_HEADER   Groesse 40 (0x28)
  +0x0     Name                                       BYTE[8]                8 Byte
  +0x8     Misc                                       _union_226             4 Byte
  +0xc     VirtualAddress                             DWORD                  4 Byte
  +0x10    SizeOfRawData                              DWORD                  4 Byte
  +0x14    PointerToRawData                           DWORD                  4 Byte
  +0x18    PointerToRelocations                       DWORD                  4 Byte
  +0x1c    PointerToLinenumbers                       DWORD                  4 Byte
  +0x20    NumberOfRelocations                        WORD                   2 Byte
  +0x22    NumberOfLinenumbers                        WORD                   2 Byte
  +0x24    Characteristics                            DWORD                  4 Byte

### tagRECT   Groesse 16 (0x10)
  +0x0     left                                       LONG                   4 Byte
  +0x4     top                                        LONG                   4 Byte
  +0x8     right                                      LONG                   4 Byte
  +0xc     bottom                                     LONG                   4 Byte

### HICON__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### HINSTANCE__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### tagPOINT   Groesse 8 (0x8)
  +0x0     x                                          LONG                   4 Byte
  +0x4     y                                          LONG                   4 Byte

### HDC__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### _Ctypevec   Groesse 16 (0x10)
  +0x0     _Page                                      uint                   4 Byte
  +0x4     _Table                                     short *                4 Byte
  +0x8     _Delfl                                     int                    4 Byte
  +0xc     _LocaleName                                wchar_t *              4 Byte

### tm   Groesse 36 (0x24)
  +0x0     tm_sec                                     int                    4 Byte
  +0x4     tm_min                                     int                    4 Byte
  +0x8     tm_hour                                    int                    4 Byte
  +0xc     tm_mday                                    int                    4 Byte
  +0x10    tm_mon                                     int                    4 Byte
  +0x14    tm_year                                    int                    4 Byte
  +0x18    tm_wday                                    int                    4 Byte
  +0x1c    tm_yday                                    int                    4 Byte
  +0x20    tm_isdst                                   int                    4 Byte

### tagLC_STRINGS   Groesse 458 (0x1ca)
  +0x0     szLanguage                                 wchar_t[64]            128 Byte
  +0x80    szCountry                                  wchar_t[64]            128 Byte
  +0x100   szCodePage                                 wchar_t[16]            32 Byte
  +0x120   szLocaleName                               wchar_t[85]            170 Byte

### _SECURITY_ATTRIBUTES   Groesse 12 (0xc)
  +0x0     nLength                                    DWORD                  4 Byte
  +0x4     lpSecurityDescriptor                       LPVOID                 4 Byte
  +0x8     bInheritHandle                             BOOL                   4 Byte

### tagMSG   Groesse 28 (0x1c)
  +0x0     hwnd                                       HWND                   4 Byte
  +0x4     message                                    UINT                   4 Byte
  +0x8     wParam                                     WPARAM                 4 Byte
  +0xc     lParam                                     LPARAM                 4 Byte
  +0x10    time                                       DWORD                  4 Byte
  +0x14    pt                                         POINT                  8 Byte

### HKEY__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### _struct_19   Groesse 8 (0x8)
  +0x0     LowPart                                    DWORD                  4 Byte
  +0x4     HighPart                                   LONG                   4 Byte

### _struct_20   Groesse 8 (0x8)
  +0x0     LowPart                                    DWORD                  4 Byte
  +0x4     HighPart                                   LONG                   4 Byte

### timecaps_tag   Groesse 8 (0x8)
  +0x0     wPeriodMin                                 UINT                   4 Byte
  +0x4     wPeriodMax                                 UINT                   4 Byte

### tagWNDCLASSA   Groesse 40 (0x28)
  +0x0     style                                      UINT                   4 Byte
  +0x4     lpfnWndProc                                WNDPROC                4 Byte
  +0x8     cbClsExtra                                 int                    4 Byte
  +0xc     cbWndExtra                                 int                    4 Byte
  +0x10    hInstance                                  HINSTANCE              4 Byte
  +0x14    hIcon                                      HICON                  4 Byte
  +0x18    hCursor                                    HCURSOR                4 Byte
  +0x1c    hbrBackground                              HBRUSH                 4 Byte
  +0x20    lpszMenuName                               LPCSTR                 4 Byte
  +0x24    lpszClassName                              LPCSTR                 4 Byte

