### IMAGE_DOS_HEADER   Groesse 128 (0x80)
  +0x8     spriteID                                   int                    4 Byte
  +0xc     drawX                                      int                    4 Byte
  +0x10    drawY                                      int                    4 Byte
  +0x14    imageID                                    int                    4 Byte
  +0x18    blendStrength                              int                    4 Byte
  +0x1c    gmID                                       int                    4 Byte

### ViewportState   Groesse 180 (0xb4)
  +0x0     field0_0x0                                 undefined4             4 Byte
  +0x4     mouseTileX                                 int                    4 Byte
  +0x8     mouseTileY                                 int                    4 Byte
  +0xc     mouseTile                                  int                    4 Byte
  +0x10    field4_0x10                                int                    4 Byte
  +0x14    field5_0x14                                undefined4             4 Byte
  +0x18    field6_0x18                                undefined4             4 Byte
  +0x1c    mouseRayBuildingID                         int                    4 Byte
  +0x20    field8_0x20                                undefined4             4 Byte
  +0x24    mouseRayEntityID                           int                    4 Byte
  +0x28    mouseRayUnitID                             int                    4 Byte
  +0x2c    field11_0x2c                               undefined4             4 Byte
  +0x30    mouseRayLastUnitID                         int                    4 Byte
  +0x34    field13_0x34                               undefined4             4 Byte
  +0x38    field14_0x38                               undefined4             4 Byte
  +0x3c    field15_0x3c                               undefined4             4 Byte
  +0x40    field16_0x40                               undefined4             4 Byte
  +0x44    somePitchDitchID                           int                    4 Byte
  +0x48    field18_0x48                               undefined4             4 Byte
  +0x4c    field19_0x4c                               undefined4             4 Byte
  +0x50    field20_0x50                               undefined4             4 Byte
  +0x54    field21_0x54                               undefined4             4 Byte
  +0x58    field22_0x58                               undefined4             4 Byte
  +0x5c    field23_0x5c                               undefined4             4 Byte
  +0x60    field24_0x60                               undefined4             4 Byte
  +0x64    mouseX                                     int                    4 Byte
  +0x68    mouseY                                     int                    4 Byte
  +0x6c    field27_0x6c                               undefined4             4 Byte
  +0x70    mouseAtomRefFloorTile                      int                    4 Byte
  +0x74    ptrColor                                   undefined4             4 Byte
  +0x78    viewportX                                  int                    4 Byte
  +0x7c    viewportY                                  int                    4 Byte
  +0x80    currentCameraOffsetX                       int                    4 Byte
  +0x84    currentCameraOffsetY                       int                    4 Byte
  +0x88    viewportHeight                             int                    4 Byte
  +0x8c    viewportWidth                              int                    4 Byte
  +0x90    isZoomedOutUnk                             int                    4 Byte
  +0x94    field37_0x94                               undefined4             4 Byte
  +0x98    unknownScreenXRelated                      undefined4             4 Byte
  +0x9c    tileCenterX                                int                    4 Byte
  +0xa0    tileCenterY                                int                    4 Byte
  +0xa4    someYOffset                                undefined4             4 Byte
  +0xa8    someXOffset                                undefined4             4 Byte
  +0xac    mbr_0xac                                   dword                  4 Byte
  +0xb0    mbr_0xb0                                   dword                  4 Byte

### WindowInformation   Groesse 64 (0x40)
  +0x30    RECT_SomeGameWindowRectUnk                 RECT                   16 Byte

### HashContainerElement   Groesse 48 (0x30)
  +0x0     domain01                                   int                    4 Byte
  +0x4     domain02                                   int                    4 Byte
  +0x8     domain03                                   int                    4 Byte
  +0xc     domain04                                   int                    4 Byte
  +0x10    domain05                                   int                    4 Byte
  +0x14    domain06                                   int                    4 Byte
  +0x18    domain07                                   int                    4 Byte
  +0x1c    domain08                                   int                    4 Byte
  +0x20    domain09                                   int                    4 Byte
  +0x24    domain10                                   int                    4 Byte
  +0x28    domain11                                   int                    4 Byte
  +0x2c    domain12                                   int                    4 Byte

### HashData   Groesse 512 (0x200)
  +0x0     componentArray                             int[128]               512 Byte

### HashDataContainer   Groesse 15360 (0x3c00)
  +0x0     hashDataArray                              HashData[30]           15360 Byte

### ChatEvent   Groesse 16 (0x10)
  +0x0     subjectPlayer                              int                    4 Byte
  +0x4     time                                       int                    4 Byte
  +0x8     flag                                       int                    4 Byte
  +0xc     objectPlayer                               int                    4 Byte

### ConnectionLagInfo   Groesse 36 (0x24)
  +0x0     mapTimeInTicks                             int                    4 Byte
  +0x4     subtractedMapTicks                         int                    4 Byte
  +0x8     counter                                    int                    4 Byte
  +0xc     average1                                   int                    4 Byte
  +0x10    now                                        int                    4 Byte
  +0x14    subtractedTime                             DWORD                  4 Byte
  +0x18    average2                                   int                    4 Byte
  +0x1c    checkFor0                                  int                    4 Byte
  +0x20    time                                       DWORD                  4 Byte

### Packet   Groesse 60999 (0xee47)
  +0x0     commandProtocol                            byte                   1 Byte
  +0x1     time                                       short                  2 Byte
  +0x3     unknown                                    byte                   1 Byte
  +0x4     payload                                    byte[60995]            60995 Byte

### PrefixedPacket   Groesse 61000 (0xee48)
  +0x0     prefix                                     byte                   1 Byte
  +0x1     packet                                     Packet                 60999 Byte

### ProtocolDefinedData   Groesse 1272 (0x4f8)
  +0x4     field4_0x4                                 int[12][2]             96 Byte
  +0x64    field5_0x64                                int[39][3]             468 Byte
  +0x240   field14_0x240                              char * *[21]           84 Byte
  +0x294   handleFunctions                            NoArgCallback *        4 Byte
  +0x298   field16_0x298                              NoArgCallback *        4 Byte
  +0x29c   field17_0x29c                              NoArgCallback *        4 Byte
  +0x2a0   field18_0x2a0                              NoArgCallback *        4 Byte
  +0x2a4   field19_0x2a4                              NoArgCallback *        4 Byte
  +0x2a8   field20_0x2a8                              NoArgCallback *        4 Byte
  +0x2ac   field21_0x2ac                              NoArgCallback *        4 Byte
  +0x2b0   field22_0x2b0                              NoArgCallback *        4 Byte
  +0x2b4   field23_0x2b4                              NoArgCallback *        4 Byte
  +0x2b8   field24_0x2b8                              NoArgCallback *        4 Byte
  +0x2bc   field25_0x2bc                              NoArgCallback *        4 Byte
  +0x2c0   field26_0x2c0                              NoArgCallback *        4 Byte
  +0x2c4   field27_0x2c4                              NoArgCallback *        4 Byte
  +0x2c8   field28_0x2c8                              NoArgCallback *        4 Byte
  +0x2cc   field29_0x2cc                              NoArgCallback *        4 Byte
  +0x2d0   field30_0x2d0                              NoArgCallback *        4 Byte
  +0x2d4   field31_0x2d4                              NoArgCallback *        4 Byte
  +0x2d8   field32_0x2d8                              NoArgCallback *        4 Byte
  +0x2dc   field33_0x2dc                              NoArgCallback *        4 Byte
  +0x2e0   field34_0x2e0                              NoArgCallback *        4 Byte
  +0x2e4   field35_0x2e4                              NoArgCallback *        4 Byte
  +0x2e8   field36_0x2e8                              NoArgCallback *        4 Byte
  +0x2ec   field37_0x2ec                              NoArgCallback *        4 Byte
  +0x2f0   field38_0x2f0                              NoArgCallback *        4 Byte
  +0x2f4   field39_0x2f4                              NoArgCallback *        4 Byte
  +0x2f8   field40_0x2f8                              NoArgCallback *        4 Byte
  +0x2fc   field41_0x2fc                              NoArgCallback *        4 Byte
  +0x300   field42_0x300                              NoArgCallback *        4 Byte
  +0x304   field43_0x304                              NoArgCallback *        4 Byte
  +0x308   field44_0x308                              NoArgCallback *        4 Byte
  +0x30c   field45_0x30c                              NoArgCallback *        4 Byte
  +0x310   field46_0x310                              NoArgCallback *        4 Byte
  +0x314   field47_0x314                              NoArgCallback *        4 Byte
  +0x318   field48_0x318                              NoArgCallback *        4 Byte
  +0x31c   field49_0x31c                              NoArgCallback *        4 Byte
  +0x320   field50_0x320                              NoArgCallback *        4 Byte
  +0x324   field51_0x324                              NoArgCallback *        4 Byte
  +0x328   field52_0x328                              NoArgCallback *        4 Byte
  +0x32c   field53_0x32c                              NoArgCallback *        4 Byte
  +0x330   field54_0x330                              NoArgCallback *        4 Byte
  +0x334   field55_0x334                              NoArgCallback *        4 Byte
  +0x338   field56_0x338                              NoArgCallback *        4 Byte
  +0x33c   field57_0x33c                              NoArgCallback *        4 Byte
  +0x340   field58_0x340                              NoArgCallback *        4 Byte
  +0x344   field59_0x344                              NoArgCallback *        4 Byte
  +0x348   field60_0x348                              NoArgCallback *        4 Byte
  +0x34c   field61_0x34c                              NoArgCallback *        4 Byte
  +0x350   field62_0x350                              NoArgCallback *        4 Byte
  +0x354   field63_0x354                              NoArgCallback *        4 Byte
  +0x358   field64_0x358                              NoArgCallback *        4 Byte
  +0x35c   field65_0x35c                              NoArgCallback *        4 Byte
  +0x360   field66_0x360                              NoArgCallback *        4 Byte
  +0x364   field67_0x364                              NoArgCallback *        4 Byte
  +0x368   field68_0x368                              NoArgCallback *        4 Byte
  +0x36c   field69_0x36c                              NoArgCallback *        4 Byte
  +0x370   field70_0x370                              NoArgCallback *        4 Byte
  +0x374   field71_0x374                              NoArgCallback *        4 Byte
  +0x378   field72_0x378                              NoArgCallback *        4 Byte
  +0x37c   field73_0x37c                              NoArgCallback *        4 Byte
  +0x380   field74_0x380                              NoArgCallback *        4 Byte
  +0x384   field75_0x384                              NoArgCallback *        4 Byte
  +0x388   field76_0x388                              NoArgCallback *        4 Byte
  +0x38c   field77_0x38c                              NoArgCallback *        4 Byte
  +0x390   field78_0x390                              NoArgCallback *        4 Byte
  +0x394   field79_0x394                              NoArgCallback *        4 Byte
  +0x398   field80_0x398                              NoArgCallback *        4 Byte
  +0x39c   field81_0x39c                              NoArgCallback *        4 Byte
  +0x3a0   field82_0x3a0                              NoArgCallback *        4 Byte
  +0x3a4   field83_0x3a4                              NoArgCallback *        4 Byte
  +0x3a8   field84_0x3a8                              NoArgCallback *        4 Byte
  +0x3ac   field85_0x3ac                              NoArgCallback *        4 Byte
  +0x3b0   field86_0x3b0                              NoArgCallback *        4 Byte
  +0x3b4   field87_0x3b4                              NoArgCallback *        4 Byte
  +0x3b8   field88_0x3b8                              NoArgCallback *        4 Byte
  +0x3bc   field89_0x3bc                              NoArgCallback *        4 Byte
  +0x3c0   field90_0x3c0                              NoArgCallback *        4 Byte
  +0x3c4   field91_0x3c4                              NoArgCallback *        4 Byte
  +0x3c8   field92_0x3c8                              NoArgCallback *        4 Byte
  +0x3cc   field93_0x3cc                              NoArgCallback *        4 Byte
  +0x3d0   field94_0x3d0                              NoArgCallback *        4 Byte
  +0x3d4   field95_0x3d4                              NoArgCallback *        4 Byte
  +0x3d8   field96_0x3d8                              NoArgCallback *        4 Byte
  +0x3dc   field97_0x3dc                              NoArgCallback *        4 Byte
  +0x3e0   field98_0x3e0                              NoArgCallback *        4 Byte
  +0x3e4   field99_0x3e4                              NoArgCallback *        4 Byte
  +0x3e8   field100_0x3e8                             NoArgCallback *        4 Byte
  +0x3ec   field101_0x3ec                             NoArgCallback *        4 Byte
  +0x3f0   field102_0x3f0                             NoArgCallback *        4 Byte
  +0x3f4   field103_0x3f4                             NoArgCallback *        4 Byte
  +0x3f8   field104_0x3f8                             NoArgCallback *        4 Byte
  +0x3fc   field105_0x3fc                             NoArgCallback *        4 Byte
  +0x400   field106_0x400                             NoArgCallback *        4 Byte
  +0x404   field107_0x404                             NoArgCallback *        4 Byte
  +0x408   field108_0x408                             NoArgCallback *        4 Byte
  +0x40c   field109_0x40c                             NoArgCallback *        4 Byte
  +0x410   field110_0x410                             NoArgCallback *        4 Byte
  +0x414   field111_0x414                             NoArgCallback *        4 Byte
  +0x418   field112_0x418                             NoArgCallback *        4 Byte
  +0x41c   field113_0x41c                             NoArgCallback *        4 Byte
  +0x420   field114_0x420                             NoArgCallback *        4 Byte
  +0x424   field115_0x424                             NoArgCallback *        4 Byte
  +0x428   field116_0x428                             NoArgCallback *        4 Byte
  +0x42c   field117_0x42c                             NoArgCallback *        4 Byte
  +0x430   field118_0x430                             NoArgCallback *        4 Byte
  +0x434   field119_0x434                             NoArgCallback *        4 Byte
  +0x438   field120_0x438                             NoArgCallback *        4 Byte
  +0x43c   field121_0x43c                             NoArgCallback *        4 Byte
  +0x440   field122_0x440                             NoArgCallback *        4 Byte
  +0x444   field123_0x444                             NoArgCallback *        4 Byte
  +0x448   field124_0x448                             NoArgCallback *        4 Byte
  +0x44c   field125_0x44c                             NoArgCallback *        4 Byte
  +0x450   field126_0x450                             NoArgCallback *        4 Byte
  +0x454   field127_0x454                             NoArgCallback *        4 Byte
  +0x458   field128_0x458                             NoArgCallback *        4 Byte
  +0x45c   field129_0x45c                             NoArgCallback *        4 Byte
  +0x460   field130_0x460                             NoArgCallback *        4 Byte
  +0x464   field131_0x464                             NoArgCallback *        4 Byte
  +0x468   field132_0x468                             NoArgCallback *        4 Byte
  +0x46c   field133_0x46c                             NoArgCallback *        4 Byte
  +0x470   field134_0x470                             NoArgCallback *        4 Byte
  +0x474   field135_0x474                             int[32]                128 Byte
  +0x4f4   field136_0x4f4                             char * *               4 Byte

### FontSizeClass   Groesse 36 (0x24)
  +0x0     fontGmID_0x0                               GmIDInt                4 Byte
  +0x4     numberOfFontStartInGm_0x4                  dword                  4 Byte
  +0x8     fontStartImageId_0x8                       int                    4 Byte
  +0xc     renderType_0xc                             FontRenderTypeInt      4 Byte
  +0x10    baselineOffset_0x10                        int                    4 Byte
  +0x14    lineHeight_0x14                            dword                  4 Byte
  +0x18    letterSpacing_0x18                         int                    4 Byte
  +0x1c    whiteSpaceWidth_0x1c                       int                    4 Byte
  +0x20    hgdiobj                                    HGDIOBJ                4 Byte

### HelpTextRelatedColorStruct   Groesse 16 (0x10)
  +0x0     name_0x0                                   char *                 4 Byte
  +0x4     r_0x4                                      int                    4 Byte
  +0x8     g_0x8                                      int                    4 Byte
  +0xc     b_0xc                                      int                    4 Byte

### UnkHelpTextRelatedFontStruct   Groesse 8 (0x8)
  +0x0     text_0x0                                   char *                 4 Byte
  +0x4     unknown_0x4                                int                    4 Byte

### UserTextHandler   Groesse 4372 (0x1114)
  +0x0     textArrayIndex                             TextArrayIndexTypeInt  4 Byte
  +0x4     unknown01                                  dword                  4 Byte
  +0x8     returnPressed                              dword                  4 Byte
  +0xc     allowUserTextInput                         dword                  4 Byte
  +0x10    textArrayFontSizes                         int[16]                64 Byte
  +0x50    textBoxMaxCharactersArray                  int[16]                64 Byte
  +0x90    textContentLengthArray                     int[16]                64 Byte
  +0xd0    textCursorIndexArray                       int[16]                64 Byte
  +0x110   textBoxMaxTextWidthDimensionArray          int[16]                64 Byte
  +0x150   textArray                                  char[16][250]          4000 Byte
  +0x10f0  inputBuffer                                char[30]               30 Byte
  +0x1110  inputBufferIndex                           int                    4 Byte

### BuildingNameRelatedSubStruct   Groesse 12 (0xc)
  +0x0     identifier1                                int                    4 Byte
  +0x4     identifier2                                int                    4 Byte
  +0x8     field2_0x8                                 int                    4 Byte

### ButtonState   Groesse 16 (0x10)
  +0x0     someTimestamp_1_0x0                        int                    4 Byte
  +0x4     clickTimestamp_0x4                         int                    4 Byte
  +0x8     countTo100                                 int                    4 Byte
  +0xc     currentButtonPictureInGm_0xc               int                    4 Byte

### GreatestLordDefinedData   Groesse 4 (0x4)
  +0x0     tableSortBy                                int                    4 Byte

### HoveredStateElement   Groesse 24 (0x18)
  +0x0     x                                          int                    4 Byte
  +0x4     y                                          int                    4 Byte
  +0x8     type                                       MappersEnumInt         4 Byte
  +0xc     size                                       int                    4 Byte
  +0x10    time                                       int                    4 Byte
  +0x14    rotationOrExtraInfo                        int                    4 Byte

### Menu   Groesse 68 (0x44)
  +0x0     menuItemArray                              MenuItem *             4 Byte
  +0x4     xPosition                                  int                    4 Byte
  +0x8     yPosition                                  int                    4 Byte
  +0xc     thousand                                   int                    4 Byte
  +0x10    one                                        int                    4 Byte
  +0x14    currentBuildMenuButtonShiftUnk_0x14        int                    4 Byte
  +0x18    zero                                       int                    4 Byte
  +0x1c    mouseXScreenSpace                          int                    4 Byte
  +0x20    mouseYScreenSpace                          int                    4 Byte
  +0x24    field9_0x24                                int                    4 Byte
  +0x28    field10_0x28                               int                    4 Byte
  +0x2c    field11_0x2c                               int                    4 Byte
  +0x30    field12_0x30                               int                    4 Byte
  +0x34    someTimestampUnk                           int                    4 Byte
  +0x38    hoveredItem                                MenuItem *             4 Byte
  +0x3c    someMenuItemPtr_0x3c                       MenuItem *             4 Byte
  +0x40    field16_0x40                               int                    4 Byte

### MenuIDMenuElementAddressPair   Groesse 8 (0x8)
  +0x0     menuID                                     MenuViewTypeInt        4 Byte
  +0x4     menuAddress                                Menu *                 4 Byte

### MenuItemUCInfo   Groesse 8 (0x8)
  +0x0     ucMarker_0x0                               MenuItemUCMarkerInt    4 Byte
  +0x4     ucIndex_0x4                                UserControlIDInt       4 Byte

### MenuModal   Groesse 40 (0x28)
  +0x0     menuModalID                                MenuModalTypeInt       4 Byte
  +0x4     x                                          int                    4 Byte
  +0x8     y                                          int                    4 Byte
  +0xc     width                                      int                    4 Byte
  +0x10    height                                     int                    4 Byte
  +0x14    borderStyle                                int                    4 Byte
  +0x18    backgroundColourIndex                      int                    4 Byte
  +0x1c    menuModalRenderFunction                    MenuModalRenderFunction * 4 Byte
  +0x20    pointerToMenu                              Menu *                 4 Byte
  +0x24    pointerToNextModalMenu                     MenuModal *            4 Byte

### MenuModalComposition   Groesse 124 (0x7c)
  +0x0     slot                                       int                    4 Byte
  +0x4     modalMenu                                  MenuModal              40 Byte
  +0x2c    activeModalDialogID                        MenuModalTypeInt       4 Byte
  +0x30    modalDragDropUnk                           dword                  4 Byte
  +0x34    mouseRelativeX                             dword                  4 Byte
  +0x38    mouseRelativeY                             dword                  4 Byte
  +0x3c    sliderMinimum                              dword                  4 Byte
  +0x40    sliderMaximum                              dword                  4 Byte
  +0x4c    textGroup                                  int                    4 Byte
  +0x50    textIndex                                  int                    4 Byte
  +0x54    sliderValue                                dword                  4 Byte
  +0x58    destination                                int *                  4 Byte
  +0x5c    destination2                               short *                4 Byte
  +0x60    sliderCallbackFunction                     pointer                4 Byte
  +0x64    mbr_0x64                                   dword                  4 Byte
  +0x68    disappearAfter                             dword                  4 Byte
  +0x6c    mbr_0x6c                                   dword                  4 Byte
  +0x70    timeItIsSet                                dword                  4 Byte
  +0x74    minus1                                     int                    4 Byte
  +0x78    mbr_0x78                                   dword                  4 Byte

### MenuTextInputState   Groesse 6184 (0x1828)
  +0x0     field0_0x0                                 undefined4             4 Byte
  +0x4     field1_0x4                                 undefined4             4 Byte
  +0x8     field2_0x8                                 undefined4             4 Byte
  +0xc     field3_0xc                                 undefined4             4 Byte
  +0x10    field4_0x10                                undefined4             4 Byte
  +0x14    field5_0x14                                undefined4             4 Byte
  +0x18    field6_0x18                                undefined4             4 Byte
  +0x1c    field7_0x1c                                undefined4             4 Byte
  +0x20    field8_0x20                                undefined4             4 Byte
  +0x24    field9_0x24                                undefined4             4 Byte
  +0x28    menuCurrentlySelectedResolution            undefined4             4 Byte
  +0x2c    unknownZoomRelatedFlag01                   undefined4             4 Byte
  +0x30    field12_0x30                               undefined4             4 Byte
  +0x34    menuScrollSpeedSetting                     undefined4             4 Byte
  +0x38    field14_0x38                               undefined4             4 Byte
  +0x3c    field15_0x3c                               undefined1             1 Byte
  +0x40    DAT_SoundActiveMenuVar                     undefined4             4 Byte
  +0x44    field20_0x44                               undefined4             4 Byte
  +0x48    field21_0x48                               undefined4             4 Byte
  +0x4c    field22_0x4c                               undefined4             4 Byte
  +0x50    menuCursorType                             undefined4             4 Byte
  +0x54    DAT_GenieVoiceActiveMenuVar                undefined4             4 Byte
  +0x58    DAT_MenuOptionsActionParameter             undefined4             4 Byte
  +0x5c    currentModalDialog                         MenuModalTypeInt       4 Byte
  +0x60    modalDialog_2                              MenuModalTypeInt       4 Byte
  +0x64    modalDialog_3                              MenuModalTypeInt       4 Byte
  +0x68    modalDialog_4                              MenuModalTypeInt       4 Byte
  +0x6c    modalDialog_5                              MenuModalTypeInt       4 Byte
  +0x70    modalDialog_6                              MenuModalTypeInt       4 Byte
  +0x74    field32_0x74                               undefined4             4 Byte
  +0x78    field33_0x78                               undefined4             4 Byte
  +0x7c    DAT_MenuLoadGameRelativeSelectionIndex     undefined4             4 Byte
  +0x80    DAT_MenuLoadGameRelativeSelectionOffset    undefined4             4 Byte
  +0x84    field36_0x84                               undefined4             4 Byte
  +0x88    DAT_SomeTextArrayIndex                     undefined4             4 Byte
  +0x8c    field38_0x8c                               undefined4             4 Byte
  +0x90    field39_0x90                               undefined4             4 Byte
  +0x94    field40_0x94                               undefined4             4 Byte
  +0x98    field41_0x98                               undefined4             4 Byte
  +0x9c    field42_0x9c                               undefined4             4 Byte
  +0xa0    field43_0xa0                               undefined4             4 Byte
  +0xa4    field44_0xa4                               int                    4 Byte
  +0xac    field49_0xac                               undefined4             4 Byte
  +0xb0    DAT_ArrayOfMapU3EndInt2                    undefined4[500]        2000 Byte
  +0x880   DAT_MapSelectionPreloadMapIndexMapping     undefined4             4 Byte
  +0x884   DAT_ArrayOfMapIndices                      undefined4[500]        2000 Byte
  +0x1054  DAT_ArrayOfMapIndices2                     undefined4[500]        2000 Byte

### MenuView   Groesse 24 (0x18)
  +0x0     unknown_0x0                                dword                  4 Byte
  +0x4     menuID                                     MenuViewTypeInt        4 Byte
  +0x8     nextMenuViewPtr                            MenuView *             4 Byte
  +0xc     prepare                                    cdeclVoidFunc *        4 Byte
  +0x10    doInitial                                  cdeclVoidFunc *        4 Byte
  +0x14    doEveryFrame                               cdeclVoidFunc *        4 Byte

### MiniMapDefinedData   Groesse 708 (0x2c4)
  +0x0     field0_0x0                                 int[8]                 32 Byte
  +0x20    field1_0x20                                ushort[2]              4 Byte
  +0x24    field2_0x24                                ushort[16]             32 Byte
  +0x44    field3_0x44                                ushort[8]              16 Byte
  +0x54    field4_0x54                                ushort[8]              16 Byte
  +0x64    field5_0x64                                ushort[8]              16 Byte
  +0x74    field6_0x74                                ushort[8]              16 Byte
  +0x84    field7_0x84                                ushort[16]             32 Byte
  +0xa4    DAT_MinimapColorArray                      ushort[8]              16 Byte
  +0xb4    field9_0xb4                                ushort[8]              16 Byte
  +0xc4    field10_0xc4                               ushort[8]              16 Byte
  +0xd4    field11_0xd4                               ushort[8]              16 Byte
  +0xe4    field12_0xe4                               ushort[8]              16 Byte
  +0xf4    field13_0xf4                               ushort[8]              16 Byte
  +0x104   field14_0x104                              ushort[16]             32 Byte
  +0x124   field15_0x124                              ushort[16]             32 Byte
  +0x144   field16_0x144                              ushort[8]              16 Byte
  +0x154   field17_0x154                              ushort[8]              16 Byte
  +0x164   field18_0x164                              ushort[8]              16 Byte
  +0x174   field19_0x174                              ushort[8]              16 Byte
  +0x184   field20_0x184                              ushort[52]             104 Byte
  +0x1ec   DAT_PlayerColorColors                      ushort[2][2]           8 Byte
  +0x1f4   DAT_AnimalMinimapColour_RGB15              ushort                 2 Byte
  +0x1f6   DAT_AnimalMinimapColour_RGB16              ushort                 2 Byte
  +0x1f8   field24_0x1f8                              ushort                 2 Byte
  +0x1fa   field25_0x1fa                              ushort                 2 Byte
  +0x1fc   DAT_PlayerColorColors_entry2               ushort                 2 Byte
  +0x1fe   field27_0x1fe                              ushort                 2 Byte
  +0x200   field28_0x200                              ushort                 2 Byte
  +0x202   field29_0x202                              ushort                 2 Byte
  +0x204   field30_0x204                              ushort                 2 Byte
  +0x206   field31_0x206                              ushort                 2 Byte
  +0x208   field32_0x208                              ushort                 2 Byte
  +0x20a   field33_0x20a                              ushort                 2 Byte
  +0x20c   field34_0x20c                              ushort                 2 Byte
  +0x20e   field35_0x20e                              ushort                 2 Byte
  +0x210   field36_0x210                              ushort                 2 Byte
  +0x212   field37_0x212                              ushort                 2 Byte
  +0x214   field38_0x214                              ushort                 2 Byte
  +0x216   field39_0x216                              ushort                 2 Byte
  +0x218   field40_0x218                              ushort                 2 Byte
  +0x21a   field41_0x21a                              ushort                 2 Byte
  +0x21c   field42_0x21c                              ushort                 2 Byte
  +0x21e   field43_0x21e                              ushort                 2 Byte
  +0x220   field44_0x220                              ushort                 2 Byte
  +0x222   field45_0x222                              ushort                 2 Byte
  +0x224   field46_0x224                              ushort                 2 Byte
  +0x226   field47_0x226                              ushort                 2 Byte
  +0x228   field48_0x228                              ushort                 2 Byte
  +0x22a   field49_0x22a                              ushort                 2 Byte
  +0x22c   field50_0x22c                              ushort                 2 Byte
  +0x22e   field51_0x22e                              ushort                 2 Byte
  +0x230   field52_0x230                              ushort                 2 Byte
  +0x232   field53_0x232                              ushort                 2 Byte
  +0x234   field54_0x234                              ushort                 2 Byte
  +0x236   field55_0x236                              ushort                 2 Byte
  +0x238   field56_0x238                              ushort                 2 Byte
  +0x23a   field57_0x23a                              ushort                 2 Byte
  +0x23c   field58_0x23c                              ushort                 2 Byte
  +0x23e   field59_0x23e                              ushort                 2 Byte
  +0x240   field60_0x240                              ushort                 2 Byte
  +0x242   field61_0x242                              ushort                 2 Byte
  +0x244   field62_0x244                              ushort                 2 Byte
  +0x246   field63_0x246                              ushort                 2 Byte
  +0x248   field64_0x248                              ushort                 2 Byte
  +0x24a   field65_0x24a                              ushort                 2 Byte
  +0x24c   field66_0x24c                              ushort                 2 Byte
  +0x24e   field67_0x24e                              ushort                 2 Byte
  +0x250   field68_0x250                              ushort                 2 Byte
  +0x252   field69_0x252                              ushort                 2 Byte
  +0x254   field70_0x254                              ushort                 2 Byte
  +0x256   field71_0x256                              ushort                 2 Byte
  +0x258   field72_0x258                              ushort                 2 Byte
  +0x25a   field73_0x25a                              ushort                 2 Byte
  +0x25c   field74_0x25c                              ushort                 2 Byte
  +0x25e   field75_0x25e                              ushort                 2 Byte
  +0x260   field76_0x260                              ushort                 2 Byte
  +0x262   field77_0x262                              ushort                 2 Byte
  +0x264   field78_0x264                              ushort                 2 Byte
  +0x266   field79_0x266                              ushort                 2 Byte
  +0x268   field80_0x268                              ushort                 2 Byte
  +0x26a   field81_0x26a                              ushort                 2 Byte
  +0x26c   field82_0x26c                              ushort                 2 Byte
  +0x26e   field83_0x26e                              ushort                 2 Byte
  +0x270   field84_0x270                              ushort                 2 Byte
  +0x272   field85_0x272                              ushort                 2 Byte
  +0x274   field86_0x274                              ushort                 2 Byte
  +0x276   field87_0x276                              ushort                 2 Byte
  +0x278   field88_0x278                              ushort                 2 Byte
  +0x27a   field89_0x27a                              ushort                 2 Byte
  +0x27c   field90_0x27c                              MapColorRelatedStructure1[8] 64 Byte
  +0x2bc   field91_0x2bc                              int                    4 Byte
  +0x2c0   field92_0x2c0                              int                    4 Byte

### Position   Groesse 8 (0x8)
  +0x0     x                                          int                    4 Byte
  +0x4     y                                          int                    4 Byte

### AlphaAndButtonSurface   Groesse 16 (0x10)
  +0x0     surfacePtr                                 ushort *               4 Byte
  +0x4     dim1_intMinimal350_1                       dword                  4 Byte
  +0x8     dim2_intMinimal350_2                       dword                  4 Byte
  +0xc     currentImageWidth                          int                    4 Byte

### ButtonGmData   Groesse 28 (0x1c)
  +0x0     gmId_0x0                                   GmIDInt                4 Byte
  +0x4     pictureInGm_0x4                            int                    4 Byte
  +0x8     numOfAdditionalIconStates_0x8              int                    4 Byte
  +0xc     alphaGmIdUnk_0xc                           GmIDInt                4 Byte
  +0x10    field4_0x10                                int                    4 Byte
  +0x14    field5_0x14                                int                    4 Byte
  +0x18    stateTransitionTimeBaseUnk_0x18            int                    4 Byte

### PencilRenderCore   Groesse 66 (0x42)
  +0x0     otherColorUnk_0x0                          ushort                 2 Byte
  +0x4     surfacePtr                                 ushort *               4 Byte
  +0x8     horizontalByteSize                         dword                  4 Byte
  +0xc     surfaceTarget                              RenderTargetInt        4 Byte
  +0x10    currentX                                   dword                  4 Byte
  +0x14    currentY                                   dword                  4 Byte
  +0x18    field8_0x18                                dword                  4 Byte
  +0x1c    field9_0x1c                                dword                  4 Byte
  +0x20    moveDirectionXUnk_0x20                     dword                  4 Byte
  +0x24    moveDirectionYUnk_0x24                     dword                  4 Byte
  +0x28    currentWidth_0x28                          int                    4 Byte
  +0x2c    currentHeight_0x2c                         int                    4 Byte
  +0x30    drawStartX                                 dword                  4 Byte
  +0x34    drawStartY                                 dword                  4 Byte
  +0x38    drawEndX                                   dword                  4 Byte
  +0x3c    drawEndY                                   dword                  4 Byte
  +0x40    drawColor                                  ushort                 2 Byte

### Range   Groesse 8 (0x8)
  +0x0     start                                      int                    4 Byte
  +0x4     end                                        int                    4 Byte

### ScrollbarOrSliderState   Groesse 16 (0x10)
  +0x0     minValue                                   int                    4 Byte
